loginId,message1,message2,message3
1,이체했는데 안 갔어요,인증번호가 안 와요,수수료가 왜 빠졌는지 모르겠어요
2,입금했는데 잔액이 안 보여요,자동이체가 안 됐어요,수수료가 왜 빠졌는지 모르겠어요
3,카드 결제가 두 번 됐어요,수수료가 왜 빠졌는지 모르겠어요,거래내역이 안 떠요
4,로그인이 안 돼요,이체했는데 안 갔어요,수수료가 왜 빠졌는지 모르겠어요
5,거래내역이 안 떠요,한도 초과라고 나오는데 왜죠?,이체했는데 안 갔어요
6,카드 결제가 두 번 됐어요,입금했는데 잔액이 안 보여요,자동이체가 안 됐어요
7,수수료가 왜 빠졌는지 모르겠어요,카드 결제가 두 번 됐어요,인증번호가 안 와요
8,로그인이 안 돼요,이체했는데 안 갔어요,카드 결제가 두 번 됐어요
9,거래내역이 안 떠요,이체했는데 안 갔어요,로그인이 안 돼요
10,거래내역이 안 떠요,이체했는데 안 갔어요,한도 초과라고 나오는데 왜죠?
11,수수료가 왜 빠졌는지 모르겠어요,이체했는데 안 갔어요,카드 결제가 두 번 됐어요
12,앱이 자꾸 종료돼요,거래내역이 안 떠요,이체했는데 안 갔어요
13,이체했는데 안 갔어요,로그인이 안 돼요,카드 결제가 두 번 됐어요
14,입금했는데 잔액이 안 보여요,앱이 자꾸 종료돼요,로그인이 안 돼요
15,인증번호가 안 와요,앱이 자꾸 종료돼요,한도 초과라고 나오는데 왜죠?
16,이체했는데 안 갔어요,수수료가 왜 빠졌는지 모르겠어요,로그인이 안 돼요
17,입금했는데 잔액이 안 보여요,이체했는데 안 갔어요,수수료가 왜 빠졌는지 모르겠어요
18,이체했는데 안 갔어요,거래내역이 안 떠요,한도 초과라고 나오는데 왜죠?
19,수수료가 왜 빠졌는지 모르겠어요,한도 초과라고 나오는데 왜죠?,거래내역이 안 떠요
20,인증번호가 안 와요,앱이 자꾸 종료돼요,입금했는데 잔액이 안 보여요
21,입금했는데 잔액이 안 보여요,카드 결제가 두 번 됐어요,자동이체가 안 됐어요
22,한도 초과라고 나오는데 왜죠?,앱이 자꾸 종료돼요,거래내역이 안 떠요
23,카드 결제가 두 번 됐어요,자동이체가 안 됐어요,수수료가 왜 빠졌는지 모르겠어요
24,로그인이 안 돼요,인증번호가 안 와요,앱이 자꾸 종료돼요
25,자동이체가 안 됐어요,수수료가 왜 빠졌는지 모르겠어요,카드 결제가 두 번 됐어요
26,자동이체가 안 됐어요,한도 초과라고 나오는데 왜죠?,수수료가 왜 빠졌는지 모르겠어요
27,카드 결제가 두 번 됐어요,수수료가 왜 빠졌는지 모르겠어요,한도 초과라고 나오는데 왜죠?
28,인증번호가 안 와요,거래내역이 안 떠요,입금했는데 잔액이 안 보여요
29,앱이 자꾸 종료돼요,입금했는데 잔액이 안 보여요,수수료가 왜 빠졌는지 모르겠어요
30,이체했는데 안 갔어요,인증번호가 안 와요,수수료가 왜 빠졌는지 모르겠어요
31,입금했는데 잔액이 안 보여요,자동이체가 안 됐어요,거래내역이 안 떠요
32,카드 결제가 두 번 됐어요,인증번호가 안 와요,로그인이 안 돼요
33,거래내역이 안 떠요,이체했는데 안 갔어요,로그인이 안 돼요
34,자동이체가 안 됐어요,이체했는데 안 갔어요,한도 초과라고 나오는데 왜죠?
35,거래내역이 안 떠요,자동이체가 안 됐어요,한도 초과라고 나오는데 왜죠?
36,앱이 자꾸 종료돼요,이체했는데 안 갔어요,카드 결제가 두 번 됐어요
37,거래내역이 안 떠요,입금했는데 잔액이 안 보여요,자동이체가 안 됐어요
38,인증번호가 안 와요,입금했는데 잔액이 안 보여요,앱이 자꾸 종료돼요
39,수수료가 왜 빠졌는지 모르겠어요,한도 초과라고 나오는데 왜죠?,인증번호가 안 와요
40,입금했는데 잔액이 안 보여요,수수료가 왜 빠졌는지 모르겠어요,한도 초과라고 나오는데 왜죠?
41,앱이 자꾸 종료돼요,이체했는데 안 갔어요,로그인이 안 돼요
42,앱이 자꾸 종료돼요,자동이체가 안 됐어요,한도 초과라고 나오는데 왜죠?
43,인증번호가 안 와요,거래내역이 안 떠요,앱이 자꾸 종료돼요
44,수수료가 왜 빠졌는지 모르겠어요,인증번호가 안 와요,입금했는데 잔액이 안 보여요
45,인증번호가 안 와요,카드 결제가 두 번 됐어요,앱이 자꾸 종료돼요
46,앱이 자꾸 종료돼요,인증번호가 안 와요,입금했는데 잔액이 안 보여요
47,카드 결제가 두 번 됐어요,인증번호가 안 와요,이체했는데 안 갔어요
48,인증번호가 안 와요,앱이 자꾸 종료돼요,로그인이 안 돼요
49,로그인이 안 돼요,한도 초과라고 나오는데 왜죠?,앱이 자꾸 종료돼요
50,앱이 자꾸 종료돼요,거래내역이 안 떠요,한도 초과라고 나오는데 왜죠?
51,로그인이 안 돼요,카드 결제가 두 번 됐어요,입금했는데 잔액이 안 보여요
52,카드 결제가 두 번 됐어요,인증번호가 안 와요,수수료가 왜 빠졌는지 모르겠어요
53,로그인이 안 돼요,한도 초과라고 나오는데 왜죠?,입금했는데 잔액이 안 보여요
54,앱이 자꾸 종료돼요,인증번호가 안 와요,입금했는데 잔액이 안 보여요
55,입금했는데 잔액이 안 보여요,로그인이 안 돼요,카드 결제가 두 번 됐어요
56,입금했는데 잔액이 안 보여요,카드 결제가 두 번 됐어요,거래내역이 안 떠요
57,한도 초과라고 나오는데 왜죠?,이체했는데 안 갔어요,입금했는데 잔액이 안 보여요
58,카드 결제가 두 번 됐어요,로그인이 안 돼요,한도 초과라고 나오는데 왜죠?
59,거래내역이 안 떠요,한도 초과라고 나오는데 왜죠?,입금했는데 잔액이 안 보여요
60,수수료가 왜 빠졌는지 모르겠어요,자동이체가 안 됐어요,카드 결제가 두 번 됐어요
61,로그인이 안 돼요,입금했는데 잔액이 안 보여요,한도 초과라고 나오는데 왜죠?
62,입금했는데 잔액이 안 보여요,수수료가 왜 빠졌는지 모르겠어요,거래내역이 안 떠요
63,입금했는데 잔액이 안 보여요,로그인이 안 돼요,앱이 자꾸 종료돼요
64,인증번호가 안 와요,이체했는데 안 갔어요,자동이체가 안 됐어요
65,거래내역이 안 떠요,한도 초과라고 나오는데 왜죠?,앱이 자꾸 종료돼요
66,이체했는데 안 갔어요,한도 초과라고 나오는데 왜죠?,로그인이 안 돼요
67,자동이체가 안 됐어요,카드 결제가 두 번 됐어요,수수료가 왜 빠졌는지 모르겠어요
68,인증번호가 안 와요,이체했는데 안 갔어요,입금했는데 잔액이 안 보여요
69,인증번호가 안 와요,앱이 자꾸 종료돼요,이체했는데 안 갔어요
70,앱이 자꾸 종료돼요,수수료가 왜 빠졌는지 모르겠어요,입금했는데 잔액이 안 보여요
71,카드 결제가 두 번 됐어요,인증번호가 안 와요,한도 초과라고 나오는데 왜죠?
72,거래내역이 안 떠요,이체했는데 안 갔어요,한도 초과라고 나오는데 왜죠?
73,카드 결제가 두 번 됐어요,로그인이 안 돼요,이체했는데 안 갔어요
74,거래내역이 안 떠요,한도 초과라고 나오는데 왜죠?,입금했는데 잔액이 안 보여요
75,한도 초과라고 나오는데 왜죠?,이체했는데 안 갔어요,수수료가 왜 빠졌는지 모르겠어요
76,한도 초과라고 나오는데 왜죠?,수수료가 왜 빠졌는지 모르겠어요,인증번호가 안 와요
77,이체했는데 안 갔어요,로그인이 안 돼요,앱이 자꾸 종료돼요
78,카드 결제가 두 번 됐어요,인증번호가 안 와요,거래내역이 안 떠요
79,이체했는데 안 갔어요,인증번호가 안 와요,수수료가 왜 빠졌는지 모르겠어요
80,한도 초과라고 나오는데 왜죠?,이체했는데 안 갔어요,자동이체가 안 됐어요
81,로그인이 안 돼요,입금했는데 잔액이 안 보여요,수수료가 왜 빠졌는지 모르겠어요
82,자동이체가 안 됐어요,수수료가 왜 빠졌는지 모르겠어요,입금했는데 잔액이 안 보여요
